recid,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
35,>=200,12,existing paid,furniture/equipment,1474,<100,<1,4,female,div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
36,0<= & <200,45,critical/other existing credit,radio/tv,4746,<100,<1,4,male,single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,bad
37,no checking,48,critical/other existing credit,education,6110,<100,1<= & <4,1,male,single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good
38,>=200,18,existing paid,radio/tv,2100,<100,1<= & <4,4,male,single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad
39,>=200,10,existing paid,domestic appliance,1225,<100,1<= & <4,2,male,single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
40,0<= & <200,9,existing paid,radio/tv,458,<100,1<= & <4,4,male,single,none,3,real estate,24,none,own,1,skilled,1,none,yes,good
41,no checking,30,existing paid,radio/tv,2333,500<= & <1000,>=7,4,male,single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
42,0<= & <200,12,existing paid,radio/tv,1158,500<= & <1000,1<= & <4,3,male,div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
43,0<= & <200,18,delayed previously,repairs,6204,<100,1<= & <4,2,male,single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good
44,<0,30,critical/other existing credit,used car,6187,100<= & <500,4<= & <7,1,male,mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,good
45,<0,48,critical/other existing credit,used car,6143,<100,>=7,4,female,div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,bad
46,no checking,11,critical/other existing credit,new car,1393,<100,<1,4,female,div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
47,no checking,36,existing paid,radio/tv,2299,500<= & <1000,>=7,4,male,single,none,4,car,39,none,own,1,skilled,1,none,yes,good
48,<0,6,existing paid,used car,1352,500<= & <1000,unemployed,1,female,div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,good
49,no checking,11,critical/other existing credit,new car,7228,<100,1<= & <4,1,male,single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
50,no checking,12,existing paid,radio/tv,2073,100<= & <500,1<= & <4,4,female,div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good
51,0<= & <200,24,delayed previously,furniture/equipment,2333,no known savings,<1,4,male,single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,good
52,0<= & <200,27,delayed previously,used car,5965,<100,>=7,1,male,single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
53,no checking,12,existing paid,radio/tv,1262,<100,1<= & <4,3,male,single,none,2,car,25,none,own,1,skilled,1,none,yes,good
54,no checking,18,existing paid,used car,3378,no known savings,1<= & <4,2,male,single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good
55,0<= & <200,36,delayed previously,new car,2225,<100,>=7,4,male,single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad
56,no checking,6,all paid,new car,783,no known savings,1<= & <4,1,male,single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,good
57,0<= & <200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male,single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
58,no checking,36,critical/other existing credit,radio/tv,9566,<100,1<= & <4,2,female,div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,good
59,>=200,18,existing paid,new car,1961,<100,>=7,3,female,div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
60,<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,female,div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,bad
61,0<= & <200,9,existing paid,business,1391,<100,1<= & <4,2,male,mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good
62,0<= & <200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,male,single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
63,0<= & <200,36,no credits/all paid,business,1953,<100,>=7,4,male,single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
64,0<= & <200,48,no credits/all paid,business,14421,<100,1<= & <4,2,male,single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
65,no checking,24,existing paid,radio/tv,3181,<100,<1,4,female,div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
66,no checking,27,existing paid,repairs,5190,no known savings,>=7,4,male,single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good
67,no checking,12,existing paid,radio/tv,2171,<100,<1,2,female,div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
68,0<= & <200,12,existing paid,new car,1007,>=1000,1<= & <4,4,male,mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,good
69,no checking,36,existing paid,education,1819,<100,1<= & <4,4,male,single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
70,no checking,36,existing paid,radio/tv,2394,no known savings,1<= & <4,4,female,div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
71,no checking,36,existing paid,used car,8133,<100,1<= & <4,1,female,div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good
72,no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male,single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,good
73,<0,8,critical/other existing credit,other,1164,<100,>=7,3,male,single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
74,0<= & <200,42,critical/other existing credit,business,5954,<100,4<= & <7,2,female,div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
75,<0,36,existing paid,education,1977,no known savings,>=7,4,male,single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
76,<0,12,critical/other existing credit,used car,1526,<100,>=7,4,male,single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
77,<0,42,existing paid,radio/tv,3965,<100,<1,4,male,single,none,3,car,34,none,own,1,skilled,1,none,yes,bad
78,0<= & <200,11,delayed previously,radio/tv,4771,<100,4<= & <7,2,male,single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good
79,no checking,54,no credits/all paid,used car,9436,no known savings,1<= & <4,2,male,single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,good
80,0<= & <200,30,existing paid,furniture/equipment,3832,<100,<1,2,male,mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good
81,no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female,div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
82,no checking,15,existing paid,radio/tv,1213,500<= & <1000,>=7,4,male,single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
83,no checking,18,existing paid,business,1568,100<= & <500,1<= & <4,3,female,div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good
84,<0,24,existing paid,other,1755,<100,>=7,4,female,div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good
85,<0,10,existing paid,radio/tv,2315,<100,>=7,3,male,single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good
86,no checking,12,critical/other existing credit,business,1412,<100,1<= & <4,4,female,div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
87,0<= & <200,18,critical/other existing credit,furniture/equipment,1295,<100,<1,4,female,div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
88,0<= & <200,36,existing paid,education,12612,100<= & <500,1<= & <4,1,male,single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,bad
89,<0,18,existing paid,new car,2249,100<= & <500,4<= & <7,4,male,single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
90,<0,12,no credits/all paid,repairs,1108,<100,4<= & <7,4,male,single,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad
91,no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,male,single,none,4,real estate,56,none,own,1,skilled,1,none,yes,good
92,<0,12,critical/other existing credit,used car,1409,<100,>=7,4,male,single,none,3,real estate,54,none,own,1,skilled,1,none,yes,good
93,no checking,12,critical/other existing credit,radio/tv,797,no known savings,>=7,4,female,div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad
94,>=200,24,critical/other existing credit,furniture/equipment,3617,no known savings,>=7,4,male,single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,good
95,0<= & <200,12,existing paid,new car,1318,>=1000,>=7,4,male,single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good
96,0<= & <200,54,no credits/all paid,business,15945,<100,<1,3,male,single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,bad
97,no checking,12,critical/other existing credit,education,2012,no known savings,4<= & <7,4,female,div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,good
98,0<= & <200,18,existing paid,business,2622,100<= & <500,1<= & <4,4,male,single,none,4,car,34,none,own,1,skilled,1,none,yes,good
99,0<= & <200,36,critical/other existing credit,radio/tv,2337,<100,>=7,4,male,single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
100,0<= & <200,20,delayed previously,used car,7057,no known savings,4<= & <7,3,male,single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
101,no checking,24,existing paid,new car,1469,100<= & <500,>=7,4,male,mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,good
102,0<= & <200,36,existing paid,radio/tv,2323,<100,4<= & <7,4,male,single,none,4,car,24,none,rent,1,skilled,1,none,yes,good
103,no checking,6,delayed previously,radio/tv,932,<100,1<= & <4,3,female,div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,good
104,0<= & <200,9,critical/other existing credit,furniture/equipment,1919,<100,4<= & <7,4,male,single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
105,no checking,12,existing paid,used car,2445,no known savings,<1,2,male,mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
106,0<= & <200,24,critical/other existing credit,other,11938,<100,1<= & <4,2,male,single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
107,no checking,18,all paid,new car,6458,<100,>=7,2,male,single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
108,0<= & <200,12,existing paid,new car,6078,<100,4<= & <7,2,male,single,none,2,car,32,none,own,1,skilled,1,none,yes,good
109,<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,female,div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good
110,0<= & <200,14,existing paid,business,1410,500<= & <1000,>=7,1,male,mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
111,0<= & <200,6,delayed previously,business,1449,100<= & <500,>=7,1,male,div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,good
112,>=200,15,existing paid,education,392,<100,<1,4,female,div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good
113,0<= & <200,18,existing paid,new car,6260,<100,4<= & <7,3,male,single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,good
114,no checking,36,critical/other existing credit,new car,7855,<100,1<= & <4,4,female,div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
115,<0,12,existing paid,radio/tv,1680,500<= & <1000,>=7,3,male,mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,good
116,no checking,48,critical/other existing credit,radio/tv,3578,no known savings,>=7,4,male,single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
117,<0,42,existing paid,radio/tv,7174,no known savings,4<= & <7,4,female,div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
118,<0,10,critical/other existing credit,furniture/equipment,2132,no known savings,<1,2,female,div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,good
119,<0,33,critical/other existing credit,furniture/equipment,4281,500<= & <1000,1<= & <4,1,female,div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,bad
120,0<= & <200,12,critical/other existing credit,new car,2366,500<= & <1000,4<= & <7,3,male,div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
121,<0,21,existing paid,radio/tv,1835,<100,1<= & <4,3,female,div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
122,no checking,24,critical/other existing credit,used car,3868,<100,>=7,4,female,div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
123,no checking,12,existing paid,furniture/equipment,1768,<100,1<= & <4,3,male,single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
124,>=200,10,critical/other existing credit,new car,781,<100,>=7,4,male,single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,good
125,0<= & <200,18,existing paid,furniture/equipment,1924,no known savings,<1,4,female,div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,bad
126,<0,12,critical/other existing credit,new car,2121,<100,1<= & <4,4,male,single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
127,<0,12,existing paid,radio/tv,701,<100,1<= & <4,4,male,mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,good
128,0<= & <200,12,existing paid,repairs,639,<100,1<= & <4,4,male,single,none,2,car,30,none,own,1,skilled,1,none,yes,bad
129,0<= & <200,12,critical/other existing credit,used car,1860,<100,unemployed,4,male,single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
130,<0,12,critical/other existing credit,new car,3499,<100,1<= & <4,3,female,div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,bad
131,0<= & <200,48,existing paid,new car,8487,no known savings,4<= & <7,1,female,div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,good
132,<0,36,delayed previously,education,6887,<100,1<= & <4,4,male,single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
133,no checking,15,existing paid,furniture/equipment,2708,<100,<1,2,male,single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,good
134,no checking,18,existing paid,furniture/equipment,1984,<100,1<= & <4,4,male,single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good
135,no checking,60,existing paid,radio/tv,10144,100<= & <500,4<= & <7,2,female,div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good
136,no checking,12,critical/other existing credit,radio/tv,1240,no known savings,>=7,4,female,div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
137,no checking,27,delayed previously,used car,8613,>=1000,1<= & <4,2,male,single,none,2,car,27,none,own,2,skilled,1,none,yes,good
138,0<= & <200,12,existing paid,radio/tv,766,500<= & <1000,1<= & <4,4,male,single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,bad
139,0<= & <200,15,critical/other existing credit,radio/tv,2728,no known savings,4<= & <7,4,male,single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good
140,>=200,12,existing paid,radio/tv,1881,<100,1<= & <4,2,female,div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good
141,>=200,6,existing paid,new car,709,>=1000,<1,2,male,mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good
142,0<= & <200,36,existing paid,radio/tv,4795,<100,<1,4,female,div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
143,<0,27,existing paid,radio/tv,3416,<100,1<= & <4,3,male,single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
144,<0,18,existing paid,furniture/equipment,2462,<100,1<= & <4,2,male,single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
145,no checking,21,critical/other existing credit,furniture/equipment,2288,<100,<1,4,female,div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
146,0<= & <200,48,all paid,business,3566,100<= & <500,4<= & <7,4,male,single,none,2,car,30,none,own,1,skilled,1,none,yes,good
147,<0,6,critical/other existing credit,new car,860,<100,>=7,1,female,div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,yes,yes,good
148,no checking,12,critical/other existing credit,new car,682,100<= & <500,4<= & <7,4,female,div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
149,<0,36,critical/other existing credit,furniture/equipment,5371,<100,1<= & <4,3,male,single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
150,no checking,18,critical/other existing credit,radio/tv,1582,>=1000,>=7,4,male,single,none,4,car,46,none,own,2,skilled,1,none,yes,good
151,no checking,6,existing paid,radio/tv,1346,100<= & <500,>=7,2,male,single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good
152,no checking,10,existing paid,radio/tv,1924,<100,1<= & <4,1,male,single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
153,>=200,36,existing paid,radio/tv,5848,<100,1<= & <4,4,male,single,none,1,car,24,none,own,1,skilled,1,none,yes,good
154,0<= & <200,24,critical/other existing credit,used car,7758,>=1000,>=7,2,female,div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good
155,0<= & <200,24,delayed previously,business,6967,100<= & <500,4<= & <7,4,male,single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
156,<0,12,existing paid,furniture/equipment,1282,<100,1<= & <4,2,female,div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
157,<0,9,critical/other existing credit,repairs,1288,100<= & <500,>=7,3,male,single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good
158,<0,12,all paid,retraining,339,<100,>=7,4,male,mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,good
159,0<= & <200,24,existing paid,new car,3512,100<= & <500,4<= & <7,2,male,single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
160,no checking,6,critical/other existing credit,radio/tv,1898,no known savings,1<= & <4,1,male,single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,good
161,no checking,24,critical/other existing credit,radio/tv,2872,100<= & <500,>=7,3,male,single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good
162,no checking,18,critical/other existing credit,new car,1055,<100,<1,4,female,div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes,good
163,no checking,15,existing paid,domestic appliance,1262,500<= & <1000,4<= & <7,4,male,single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good
164,0<= & <200,10,existing paid,new car,7308,<100,unemployed,2,male,single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
165,no checking,36,existing paid,new car,909,500<= & <1000,>=7,4,male,single,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good
166,no checking,6,existing paid,furniture/equipment,2978,500<= & <1000,1<= & <4,1,male,single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
167,<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4,female,div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,bad
168,0<= & <200,11,existing paid,furniture/equipment,1577,>=1000,<1,4,female,div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
169,no checking,24,existing paid,furniture/equipment,3972,<100,4<= & <7,2,female,div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good
170,0<= & <200,24,critical/other existing credit,business,1935,<100,>=7,4,male,div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
171,<0,15,no credits/all paid,new car,950,<100,>=7,4,male,single,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
172,no checking,12,existing paid,furniture/equipment,763,<100,1<= & <4,4,female,div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good
173,0<= & <200,24,delayed previously,furniture/equipment,2064,<100,unemployed,3,female,div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
174,0<= & <200,8,existing paid,radio/tv,1414,<100,1<= & <4,4,male,single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,good
175,<0,21,delayed previously,education,3414,<100,<1,2,male,single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad
176,no checking,30,all paid,used car,7485,no known savings,unemployed,4,female,div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
177,<0,12,existing paid,furniture/equipment,2577,<100,1<= & <4,2,male,div/sep,none,1,car,42,none,own,1,skilled,1,none,yes,good
178,<0,6,critical/other existing credit,radio/tv,338,500<= & <1000,>=7,4,male,single,none,4,car,52,none,own,2,skilled,1,none,yes,good
179,no checking,12,existing paid,radio/tv,1963,<100,4<= & <7,4,male,single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
180,<0,21,critical/other existing credit,new car,571,<100,>=7,4,male,single,none,4,real estate,65,none,own,2,skilled,1,none,yes,good
181,no checking,36,delayed previously,business,9572,<100,<1,1,male,div/sep,none,1,car,28,none,own,2,skilled,1,none,yes,bad
182,0<= & <200,36,delayed previously,business,4455,<100,1<= & <4,2,male,div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
183,<0,21,all paid,new car,1647,no known savings,1<= & <4,4,male,single,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,bad
184,no checking,24,critical/other existing credit,furniture/equipment,3777,>=1000,1<= & <4,4,male,single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,good
185,0<= & <200,18,critical/other existing credit,new car,884,<100,>=7,4,male,single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
186,no checking,15,critical/other existing credit,radio/tv,1360,<100,1<= & <4,4,male,single,none,2,life insurance,31,none,own,2,skilled,1,none,yes,good
187,0<= & <200,9,all paid,used car,5129,<100,>=7,2,female,div/dep/mar,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad
188,0<= & <200,16,critical/other existing credit,new car,1175,<100,unemployed,2,male,single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,good
189,<0,12,existing paid,radio/tv,674,100<= & <500,4<= & <7,4,male,mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes,bad
