state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
3.0,97.0,b'408',1160.0,b'0',b'1',25.0,141.0,101.0,23.97,212.0,85.0,18.02,175.2,138.0,7.88,4.9,2.0,1.32,b'3',0
6.0,68.0,b'510',2415.0,b'1',b'0',0.0,197.7,99.0,33.61,188.8,106.0,16.05,254.6,80.0,11.46,19.2,4.0,5.18,b'3',1
27.0,30.0,b'510',4041.0,b'0',b'0',0.0,145.0,76.0,24.65,240.7,112.0,20.46,197.1,134.0,8.87,7.1,4.0,1.92,b'3',0
47.0,29.0,b'415',3664.0,b'0',b'0',0.0,157.4,122.0,26.76,145.0,75.0,12.33,281.8,92.0,12.68,9.3,2.0,2.51,b'1',0
14.0,127.0,b'510',1360.0,b'0',b'0',0.0,220.2,108.0,37.43,188.4,124.0,16.01,172.7,113.0,7.77,11.7,3.0,3.16,b'2',0
32.0,124.0,b'408',516.0,b'0',b'0',0.0,244.6,91.0,41.58,125.1,70.0,10.63,303.4,104.0,13.65,12.0,5.0,3.24,b'0',0
46.0,142.0,b'415',2639.0,b'0',b'0',0.0,232.5,74.0,39.53,181.8,142.0,15.45,203.1,86.0,9.14,10.4,6.0,2.81,b'4',0
41.0,110.0,b'408',1585.0,b'0',b'1',40.0,202.6,103.0,34.44,118.8,128.0,10.1,234.9,98.0,10.57,9.0,9.0,2.43,b'2',0
12.0,79.0,b'415',145.0,b'0',b'1',12.0,62.4,119.0,10.61,237.6,96.0,20.2,193.4,116.0,8.7,7.8,2.0,2.11,b'0',0
3.0,124.0,b'415',1722.0,b'0',b'0',0.0,253.5,104.0,43.1,117.9,123.0,10.02,248.5,104.0,11.18,14.0,2.0,3.78,b'0',0
37.0,166.0,b'510',2090.0,b'0',b'0',0.0,199.6,93.0,33.93,214.3,99.0,18.22,196.8,110.0,8.86,7.2,5.0,1.94,b'3',0
23.0,85.0,b'415',1856.0,b'0',b'0',0.0,255.3,114.0,43.4,194.6,83.0,16.54,276.6,78.0,12.45,3.7,5.0,1.0,b'3',0
47.0,73.0,b'510',435.0,b'1',b'0',0.0,202.9,108.0,34.49,285.9,121.0,24.3,219.0,102.0,9.86,12.8,5.0,3.46,b'1',0
19.0,87.0,b'408',519.0,b'0',b'0',0.0,186.9,79.0,31.77,182.6,105.0,15.52,143.1,90.0,6.44,4.2,14.0,1.13,b'1',0
16.0,33.0,b'415',3987.0,b'0',b'0',0.0,228.1,77.0,38.78,176.3,102.0,14.99,224.5,119.0,10.1,7.5,1.0,2.03,b'0',0
25.0,193.0,b'415',87.0,b'0',b'0',0.0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3.0,3.13,b'1',0
37.0,174.0,b'415',4894.0,b'0',b'0',0.0,222.3,102.0,37.79,173.8,123.0,14.77,297.2,97.0,13.37,5.7,2.0,1.54,b'0',1
37.0,125.0,b'408',2671.0,b'0',b'1',32.0,96.5,109.0,16.41,145.8,109.0,12.39,174.4,82.0,7.85,9.4,2.0,2.54,b'1',0
34.0,139.0,b'510',3775.0,b'0',b'0',0.0,236.6,109.0,40.22,169.9,107.0,14.44,212.3,118.0,9.55,11.1,2.0,3.0,b'1',1
8.0,148.0,b'415',1236.0,b'0',b'0',0.0,124.4,83.0,21.15,179.7,81.0,15.27,253.0,99.0,11.39,11.3,6.0,3.05,b'0',0
27.0,102.0,b'408',4708.0,b'0',b'1',27.0,109.8,66.0,18.67,207.3,76.0,17.62,236.9,101.0,10.66,10.3,7.0,2.78,b'0',0
50.0,104.0,b'408',2022.0,b'0',b'0',0.0,183.6,133.0,31.21,120.7,98.0,10.26,215.1,112.0,9.68,12.7,2.0,3.43,b'1',0
13.0,24.0,b'408',755.0,b'0',b'1',29.0,236.3,105.0,40.17,190.8,114.0,16.22,129.0,105.0,5.81,7.2,2.0,1.94,b'3',0
8.0,64.0,b'415',3920.0,b'0',b'1',27.0,201.3,101.0,34.22,143.8,89.0,12.22,150.2,127.0,6.76,12.3,3.0,3.32,b'1',0
48.0,63.0,b'510',3532.0,b'0',b'1',34.0,152.2,119.0,25.87,227.1,91.0,19.3,195.7,103.0,8.81,12.3,5.0,3.32,b'1',0
23.0,128.0,b'510',4120.0,b'1',b'0',0.0,192.8,96.0,32.78,136.6,86.0,11.61,151.8,75.0,6.83,13.5,4.0,3.65,b'1',1
11.0,132.0,b'408',1800.0,b'1',b'1',33.0,200.3,75.0,34.05,226.6,67.0,19.26,198.8,91.0,8.95,12.9,3.0,3.48,b'2',0
20.0,83.0,b'408',4038.0,b'0',b'1',38.0,107.9,90.0,18.34,140.4,94.0,11.93,253.6,79.0,11.41,10.5,2.0,2.84,b'0',0
8.0,31.0,b'408',3130.0,b'0',b'0',0.0,229.1,120.0,38.95,172.4,79.0,14.65,243.6,102.0,10.96,11.0,4.0,2.97,b'3',0
39.0,105.0,b'408',3466.0,b'0',b'0',0.0,104.2,75.0,17.71,272.9,91.0,23.2,187.2,107.0,8.42,9.2,2.0,2.48,b'1',0
21.0,137.0,b'510',2167.0,b'0',b'0',0.0,110.5,79.0,18.79,223.2,111.0,18.97,169.5,64.0,7.63,10.5,3.0,2.84,b'3',0
9.0,99.0,b'408',457.0,b'0',b'0',0.0,155.3,93.0,26.4,265.7,95.0,22.58,145.7,67.0,6.56,12.4,4.0,3.35,b'0',0
38.0,86.0,b'415',695.0,b'0',b'1',23.0,247.6,65.0,42.09,255.7,104.0,21.73,150.0,138.0,6.75,7.3,5.0,1.97,b'3',0
14.0,68.0,b'415',693.0,b'1',b'1',29.0,195.5,113.0,33.24,171.6,96.0,14.59,204.0,85.0,9.18,13.5,9.0,3.65,b'1',1
11.0,161.0,b'408',1688.0,b'0',b'0',0.0,165.4,88.0,28.12,209.7,111.0,17.82,270.7,129.0,12.18,10.5,3.0,2.84,b'4',0
0.0,59.0,b'510',2032.0,b'0',b'0',0.0,182.5,104.0,31.03,204.7,95.0,17.4,229.9,100.0,10.35,11.3,8.0,3.05,b'4',0
5.0,65.0,b'510',4214.0,b'0',b'0',0.0,158.8,53.0,27.0,188.5,132.0,16.02,189.3,87.0,8.52,9.8,4.0,2.65,b'2',0
22.0,86.0,b'415',2259.0,b'0',b'1',28.0,221.6,74.0,37.67,288.4,100.0,24.51,240.3,105.0,10.81,9.0,2.0,2.43,b'1',0
36.0,17.0,b'408',2492.0,b'0',b'0',0.0,180.4,121.0,30.67,228.5,111.0,19.42,199.5,99.0,8.98,14.8,5.0,4.0,b'0',0
19.0,88.0,b'415',4807.0,b'0',b'0',0.0,264.8,124.0,45.02,245.4,112.0,20.86,160.5,115.0,7.22,14.8,2.0,4.0,b'1',1
42.0,120.0,b'408',4398.0,b'1',b'0',0.0,179.9,72.0,30.58,170.0,98.0,14.45,190.6,89.0,8.58,13.8,2.0,3.73,b'1',1
1.0,80.0,b'415',3253.0,b'0',b'0',0.0,135.1,92.0,22.97,185.0,103.0,15.73,147.1,74.0,6.62,14.7,5.0,3.97,b'3',0
38.0,72.0,b'415',503.0,b'0',b'0',0.0,180.0,109.0,30.6,292.7,96.0,24.88,194.9,114.0,8.77,10.8,4.0,2.92,b'0',0
22.0,119.0,b'510',439.0,b'1',b'1',22.0,172.1,119.0,29.26,223.6,133.0,19.01,150.0,94.0,6.75,13.9,20.0,3.75,b'1',1
40.0,138.0,b'510',2266.0,b'0',b'1',21.0,19.5,149.0,3.32,140.9,109.0,11.98,179.7,111.0,8.09,7.9,1.0,2.13,b'0',0
36.0,172.0,b'408',3699.0,b'0',b'0',0.0,203.9,109.0,34.66,234.0,123.0,19.89,160.7,65.0,7.23,17.8,4.0,4.81,b'4',0
35.0,83.0,b'415',2264.0,b'0',b'0',0.0,337.4,120.0,57.36,227.4,116.0,19.33,153.9,114.0,6.93,15.8,7.0,4.27,b'0',1
33.0,110.0,b'510',4744.0,b'0',b'0',0.0,129.5,94.0,22.02,92.6,96.0,7.87,154.3,110.0,6.94,9.9,5.0,2.67,b'3',0
5.0,108.0,b'415',3821.0,b'0',b'0',0.0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65.0,8.75,3.6,5.0,0.97,b'1',0
39.0,103.0,b'510',4905.0,b'1',b'0',0.0,255.9,128.0,43.5,140.9,92.0,11.98,308.9,130.0,13.9,12.1,2.0,3.27,b'1',1
30.0,93.0,b'408',4406.0,b'0',b'0',0.0,179.3,93.0,30.48,188.8,65.0,16.05,253.2,88.0,11.39,12.1,5.0,3.27,b'1',0
37.0,64.0,b'510',4218.0,b'0',b'0',0.0,213.5,93.0,36.3,166.6,114.0,14.16,122.0,78.0,5.49,14.1,3.0,3.81,b'3',0
20.0,97.0,b'415',3644.0,b'0',b'0',0.0,218.0,86.0,37.06,184.0,94.0,15.64,240.5,110.0,10.82,6.4,8.0,1.73,b'3',0
27.0,129.0,b'415',1040.0,b'0',b'0',0.0,54.7,131.0,9.3,256.1,105.0,21.77,176.6,135.0,7.95,11.1,4.0,3.0,b'1',0
35.0,115.0,b'510',1068.0,b'1',b'0',0.0,345.3,81.0,58.7,203.4,106.0,17.29,217.5,107.0,9.79,11.8,8.0,3.19,b'1',1
39.0,131.0,b'415',3740.0,b'0',b'0',0.0,131.3,39.0,22.32,242.9,101.0,20.65,278.8,100.0,12.55,8.5,2.0,2.3,b'2',0
16.0,51.0,b'415',1482.0,b'0',b'1',43.0,158.2,94.0,26.89,213.2,105.0,18.12,190.4,91.0,8.57,8.5,2.0,2.3,b'2',0
15.0,140.0,b'415',4532.0,b'0',b'0',0.0,160.5,114.0,27.29,240.5,103.0,20.44,233.5,121.0,10.51,11.3,4.0,3.05,b'1',0
24.0,132.0,b'408',4512.0,b'0',b'0',0.0,206.2,100.0,35.05,211.2,118.0,17.95,196.2,122.0,8.83,10.2,6.0,2.75,b'1',0
12.0,63.0,b'510',3906.0,b'0',b'0',0.0,153.5,81.0,26.1,287.3,115.0,24.42,230.2,85.0,10.36,6.5,5.0,1.76,b'2',0
10.0,103.0,b'415',2823.0,b'0',b'1',28.0,121.0,105.0,20.57,270.4,100.0,22.98,160.5,76.0,7.22,7.7,4.0,2.08,b'2',0
24.0,74.0,b'415',4948.0,b'0',b'0',0.0,172.1,105.0,29.26,211.7,99.0,17.99,182.2,105.0,8.2,11.6,6.0,3.13,b'1',0
38.0,92.0,b'510',3675.0,b'0',b'0',0.0,185.9,111.0,31.6,216.8,93.0,18.43,231.0,58.0,10.4,8.5,2.0,2.3,b'1',0
35.0,146.0,b'415',1631.0,b'0',b'0',0.0,169.5,93.0,28.82,230.9,71.0,19.63,269.8,115.0,12.14,9.0,7.0,2.43,b'2',0
13.0,130.0,b'415',1633.0,b'0',b'0',0.0,263.7,113.0,44.83,186.5,103.0,15.85,195.3,99.0,8.79,18.3,6.0,4.94,b'1',1
13.0,71.0,b'415',1869.0,b'0',b'0',0.0,212.1,114.0,36.06,235.9,91.0,20.05,207.7,135.0,9.35,11.3,5.0,3.05,b'4',0
37.0,159.0,b'408',3038.0,b'0',b'0',0.0,180.1,103.0,30.62,193.4,148.0,16.44,251.2,109.0,11.3,13.4,5.0,3.62,b'0',0
32.0,80.0,b'510',396.0,b'0',b'0',0.0,206.3,97.0,35.07,154.9,98.0,13.17,263.6,82.0,11.86,12.4,12.0,3.35,b'0',0
10.0,111.0,b'415',3561.0,b'0',b'0',0.0,129.1,92.0,21.95,148.9,132.0,12.66,264.0,103.0,11.88,16.8,7.0,4.54,b'2',0
19.0,86.0,b'408',3387.0,b'0',b'0',0.0,118.6,106.0,20.16,223.5,115.0,19.0,94.7,12.0,4.26,13.3,1.0,3.59,b'2',0
37.0,135.0,b'415',1366.0,b'0',b'0',0.0,194.8,97.0,33.12,235.3,118.0,20.0,174.4,126.0,7.85,11.0,3.0,2.97,b'1',0
4.0,120.0,b'510',648.0,b'0',b'0',0.0,134.8,94.0,22.92,204.1,106.0,17.35,238.4,109.0,10.73,6.7,8.0,1.81,b'1',0
31.0,85.0,b'415',2012.0,b'0',b'0',0.0,236.9,93.0,40.27,197.7,113.0,16.8,309.1,78.0,13.91,11.4,7.0,3.08,b'2',1
42.0,70.0,b'510',3547.0,b'0',b'0',0.0,126.3,99.0,21.47,141.6,106.0,12.04,255.9,96.0,11.52,9.6,2.0,2.59,b'0',0
35.0,136.0,b'415',4201.0,b'0',b'1',31.0,143.1,88.0,24.33,236.6,65.0,20.11,227.8,120.0,10.25,11.4,5.0,3.08,b'2',0
31.0,182.0,b'415',4820.0,b'0',b'0',0.0,279.1,124.0,47.45,180.5,108.0,15.34,217.5,104.0,9.79,9.5,11.0,2.57,b'2',1
48.0,114.0,b'415',2405.0,b'0',b'1',26.0,137.1,88.0,23.31,155.7,125.0,13.23,247.6,94.0,11.14,11.5,7.0,3.11,b'2',0
11.0,169.0,b'415',355.0,b'0',b'0',0.0,179.2,111.0,30.46,175.2,130.0,14.89,228.6,92.0,10.29,9.9,6.0,2.67,b'2',0
49.0,92.0,b'415',1770.0,b'0',b'1',47.0,141.6,95.0,24.07,207.9,130.0,17.67,203.6,95.0,9.16,10.2,11.0,2.75,b'0',0
25.0,121.0,b'408',4614.0,b'0',b'1',12.0,127.2,56.0,21.62,241.6,114.0,20.54,176.6,84.0,7.95,13.2,3.0,3.56,b'3',0
21.0,77.0,b'415',3934.0,b'0',b'0',0.0,208.8,117.0,35.5,175.4,81.0,14.91,171.5,105.0,7.72,13.4,3.0,3.62,b'0',0
50.0,101.0,b'415',1026.0,b'0',b'1',24.0,240.5,103.0,40.89,280.5,78.0,23.84,212.8,69.0,9.58,10.4,5.0,2.81,b'2',0
46.0,43.0,b'408',210.0,b'0',b'0',0.0,135.8,125.0,23.09,163.2,88.0,13.87,229.8,106.0,10.34,12.6,3.0,3.4,b'0',0
23.0,37.0,b'415',1750.0,b'0',b'1',20.0,264.7,81.0,45.0,216.5,110.0,18.4,210.7,102.0,9.48,10.4,7.0,2.81,b'0',0
28.0,71.0,b'510',2414.0,b'0',b'0',0.0,238.0,82.0,40.46,278.5,94.0,23.67,193.1,134.0,8.69,11.8,10.0,3.19,b'0',1
27.0,73.0,b'415',4587.0,b'0',b'1',31.0,194.4,104.0,33.05,176.0,84.0,14.96,230.1,110.0,10.35,11.5,3.0,3.11,b'0',0
